"Employment-to-population ratio, Seasonally adjusted"
,"People (%)","Males (%)","Females (%)"
"Aug-14","60.7","66.6","55.0"
"Sep-14","60.6","66.4","55.0"
"Oct-14","60.5","66.4","54.8"
"Nov-14","60.5","66.6","54.6"
"Dec-14","60.7","66.6","55.0"
"Jan-15","60.7","66.5","55.0"
"Feb-15","60.9","66.8","55.2"
"Mar-15","60.9","67.0","55.1"
"Apr-15","60.8","66.7","55.1"
"May-15","61.0","66.8","55.4"
"Jun-15","60.9","66.6","55.4"
"Jul-15","61.0","66.7","55.4"
"Aug-15","60.9","66.5","55.5"
"Sep-15","61.0","66.6","55.6"
"Oct-15","61.3","66.9","55.9"
"Nov-15","61.4","66.9","56.1"
"Dec-15","61.4","66.9","56.0"
"Jan-16","61.3","67.0","55.9"
"Feb-16","61.3","66.8","56.0"
"Mar-16","61.3","66.8","56.0"
"Apr-16","61.2","66.6","56.0"
"May-16","61.1","66.6","55.8"
"Jun-16","61.2","66.6","56.0"
"Jul-16","61.2","66.7","56.0"
"Aug-16","60.9","66.4","55.7"
"Sep-16","60.8","66.1","55.7"
"Oct-16","60.8","66.2","55.7"
"Nov-16","60.9","66.2","55.8"
"Dec-16","60.9","66.3","55.8"
"Jan-17","61.0","66.2","55.9"
"Feb-17","60.7","66.0","55.6"
"Mar-17","60.9","66.1","55.9"
"Apr-17","61.1","66.5","55.9"
"May-17","61.2","66.4","56.2"
"Jun-17","61.3","66.4","56.4"
"Jul-17","61.4","66.6","56.4"
"Aug-17","61.6","66.6","56.7"
"Sep-17","61.7","66.6","56.9"
"Oct-17","61.6","66.6","56.8"
"Nov-17","61.8","66.7","57.0"
"Dec-17","61.9","66.6","57.3"
"Jan-18","62.0","67.0","57.1"
"Feb-18","61.8","66.6","57.1"
"Mar-18","61.8","66.5","57.2"
"Apr-18","61.8","66.6","57.1"
"May-18","61.7","66.6","56.9"
"Jun-18","61.9","66.7","57.3"
"Jul-18","61.8","66.8","57.0"
"Aug-18","62.1","67.1","57.2"
"Sep-18","62.1","67.1","57.2"
"Oct-18","62.1","67.1","57.3"
"Nov-18","62.1","67.0","57.4"
"Dec-18","62.2","67.1","57.4"
"Jan-19","62.3","67.3","57.6"
"Feb-19","62.2","67.1","57.5"
"Mar-19","62.3","67.1","57.5"
"Apr-19","62.4","67.1","57.8"
"May-19","62.3","67.4","57.4"
"Jun-19","62.3","67.3","57.5"
"Jul-19","62.3","67.3","57.6"
"Aug-19","62.5","67.3","57.9"
"Sep-19","62.5","67.1","58.1"
"Oct-19","62.2","66.7","57.9"
"Nov-19","62.3","66.7","57.9"
"Dec-19","62.4","66.8","58.1"
"Jan-20","62.4","66.6","58.3"
"Feb-20","62.2","66.6","58.0"
"Mar-20","62.1","66.5","57.9"
"Apr-20","59.3","63.9","54.9"
"May-20","57.9","62.7","53.3"
"Jun-20","59.0","63.5","54.6"
"Jul-20","59.6","64.1","55.1"
"Aug-20","60.3","64.6","56.1"
"Sep-20","60.1","64.4","56.0"
"Oct-20","60.8","65.4","56.4"
"Nov-20","61.2","65.8","56.8"
"Dec-20","61.4","65.8","57.2"
"Jan-21","61.6","66.2","57.3"
"Feb-21","61.9","66.2","57.7"
"Mar-21","62.2","66.3","58.2"
"Apr-21","62.1","66.4","57.9"
"May-21","62.5","66.6","58.5"
"Jun-21","62.6","66.9","58.4"
"Jul-21","62.6","67.1","58.3"
"Aug-21","62.0","66.4","57.7"
"Sep-21","61.4","65.9","57.0"
"Oct-21","61.1","65.7","56.6"
"Nov-21","62.8","67.0","58.7"
"Dec-21","63.1","67.5","58.9"
"Jan-22","63.3","67.1","59.5"
"Feb-22","63.5","67.4","59.8"
"Mar-22","63.5","67.4","59.7"
"Apr-22","63.7","67.7","59.8"
"May-22","63.7","67.9","59.7"
"Jun-22","64.1","68.1","60.2"
"Jul-22","63.9","67.9","60.0"
"Aug-22","64.1","68.2","60.2"
"Sep-22","64.1","68.3","60.0"
"Oct-22","64.1","68.3","60.0"
"Nov-22","64.3","68.3","60.4"
"Dec-22","64.1","68.2","60.1"
"Jan-23","64.0","68.1","60.1"
"Feb-23","64.1","68.2","60.1"
"Mar-23","64.3","68.2","60.6"
"Apr-23","64.1","68.0","60.4"
"May-23","64.3","68.3","60.5"
"Jun-23","64.3","68.3","60.5"
"Jul-23","64.1","68.2","60.1"
"Aug-23","64.2","68.3","60.3"
"Sep-23","64.1","68.0","60.4"
"Oct-23","64.2","68.0","60.6"
"Nov-23","64.4","68.2","60.7"
"Dec-23","64.0","67.8","60.3"
"Jan-24","63.8","67.6","60.2"
"Feb-24","64.2","68.0","60.5"
"Mar-24","64.0","67.9","60.3"
"Apr-24","64.0","67.8","60.4"
"May-24","64.1","68.0","60.3"
"Jun-24","64.1","68.1","60.4"
"Jul-24","64.2","68.0","60.6"
"Aug-24","64.3","68.1","60.6"

"Source: Australian Bureau of Statistics, Labour Force, Australia August 2024"
