Entity,Code,Year,"Gross enrolment ratio, primary, both sexes (%)","Gross enrolment ratio, secondary, both sexes (%)","Gross enrolment ratio for tertiary education, both sexes (%), GER.5T8","Completion rate, primary education, both sexes (%), CR.1","Completion rate, lower secondary education, both sexes (%), CR.2"
Vietnam,VNM,1976,121.39795,36.59251,1.6718,,
Vietnam,VNM,1977,125.0868,38.82904,1.97196,,
Vietnam,VNM,1978,123.07439,,2.32092,,
Vietnam,VNM,1979,112.18266,,2.48878,,
Vietnam,VNM,1980,117.27536,46.90838,2.45441,,
Vietnam,VNM,1981,113.15739,,2.08139,,
Vietnam,VNM,1983,107.15587,,,,
Vietnam,VNM,1984,106.53523,,,,
Vietnam,VNM,1985,105.02361,,,,
Vietnam,VNM,1986,104.51498,,2.1231,,
Vietnam,VNM,1987,106.99776,,,,
Vietnam,VNM,1988,106.87352,,,,
Vietnam,VNM,1989,104.39642,,3.02561,,
Vietnam,VNM,1990,101.23093,35.30928,3.10188,75.75,59.35
Vietnam,VNM,1991,102.53866,,2.07907,75.33,58.17
Vietnam,VNM,1992,103.46246,,1.64544,74.99,56.83
Vietnam,VNM,1993,107.19431,,2.0319,75.09,55.61
Vietnam,VNM,1994,109.33807,,2.25684,75.97,54.54
Vietnam,VNM,1995,111.91354,,2.83755,77.58,54.12
Vietnam,VNM,1996,113.70345,,4.05885,79.63,54.42
Vietnam,VNM,1997,115.8017,,6.80187,81.56,55.47
Vietnam,VNM,1998,115.83222,55.97227,9.47862,83.1,57.5
Vietnam,VNM,1999,114.00085,,10.33391,84.23,60.39
Vietnam,VNM,2000,112.73733,,9.13525,85.71,51.31
Vietnam,VNM,2001,111.03515,,9.23018,86.25,66.91
Vietnam,VNM,2002,109.37557,,9.58057,89.05,63.450005
Vietnam,VNM,2003,107.74517,,10.05982,88.62,70.97
Vietnam,VNM,2004,106.45226,,,89.85,72.25
Vietnam,VNM,2005,103.82394,,16.3328,91.04,73.72
Vietnam,VNM,2006,101.76909,,17.24201,95.03,79.28
Vietnam,VNM,2007,100.47272,,19.23406,92.83,77.29
Vietnam,VNM,2008,99.25139,,20.07797,93.42,79.18
Vietnam,VNM,2009,97.41997,,21.5062,95.59169,77.66713
Vietnam,VNM,2010,99.45733,,24.311,94.42,82.89
Vietnam,VNM,2011,100.33581,,26.618,95.5281,80.54251
Vietnam,VNM,2012,100.61941,,26.90959,95.31,84.95
Vietnam,VNM,2013,102.08327,,26.94,95.74,85.56
Vietnam,VNM,2014,105.51912,,32.866,96.57267,83.43417
Vietnam,VNM,2015,106.82076,88.198,31.089,96.59,86.69
Vietnam,VNM,2016,110.224,88.639,30.228,97.01,87.29
Vietnam,VNM,2017,109.942,88.957,,97.42,87.99
Vietnam,VNM,2018,112.219,90.635,,97.8,88.82
Vietnam,VNM,2019,117.423,93.154,28.50693,98.13,89.82
Vietnam,VNM,2020,119.024,93.79,,98.42,90.81
Vietnam,VNM,2021,120.023,96.067,38.873,98.28678,86.97114
Vietnam,VNM,2022,123.134,97.249,42.224,98.86,92.57
Vietnam,VNM,2023,,,,99.01,93.2
Vietnam,VNM,2024,,,,99.14,93.71
