Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"School enrollment, primary, female (% gross)",SE.PRM.ENRR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.4099426,109.4046173,110.0983429,112.8625793,112.4555969,115.2410202,116.9735565,119.2895813,118.6452713,115.2240906,115.0023804,114.4315186,106.3978806,108.5960617,118.0686874,118.1114197,116.9960022,,,,,,,,
Africa Eastern and Southern,AFE,"School enrollment, primary, female (% gross)",SE.PRM.ENRR.FE,,,,,,,,,,,51.47764969,51.63375854,52.59180069,53.82537079,57.33509064,59.63721848,60.92388916,62.96480179,64.43959045,67.20012665,70.43946075,72.64070892,73.17671967,73.25669861,72.93247223,70.5749588,70.62776947,69.76435089,68.56954956,70.18781281,68.00955963,69.37213135,67.94850159,68.10855865,67.91214752,68.82256317,68.59248352,72.16818237,72.32823944,72.20332336,73.98193359,76.95169067,79.49568939,83.53833008,86.18849182,90.06461334,93.12194824,96.42569733,100.3991089,100.5478897,100.0179901,99.29766083,99.90630341,100.0105591,99.94052124,99.55474091,100.236618,100.8616867,101.8234787,102.8024521,103.8077393,102.8355331,102.8463898,
Afghanistan,AFG,"School enrollment, primary, female (% gross)",SE.PRM.ENRR.FE,,,,,,,,,,,9.534939766,9.561690331,9.865679741,10.38661003,10.4778204,11.19029999,11.77223969,12.4988203,13.25487041,,16.90435028,19.65936089,14.36308956,,17.08288002,17.48866081,20.04513931,,24.79738998,24.06661987,23.97938919,24.9300499,,18.24781036,30.8719101,32.46923065,,,,4.082029819,0,0,46.85710907,68.6276474,63.29473114,73.18865204,79.21623993,76.40812683,80.11947632,78.64240265,83.11495209,83.37647247,88.89306641,88.73397064,89.55684662,85.90236664,85.78795624,85.56349182,86.19013214,88.33358002,,,,
Africa Western and Central,AFW,"School enrollment, primary, female (% gross)",SE.PRM.ENRR.FE,,,,,,,,,,,32.86861038,34.67733002,36.79365158,38.50061035,38.8168602,39.26688004,39.96366882,46.02130127,53.66228104,59.92564011,63.17462158,67.08953857,71.17069244,70.95545959,70.29022217,68.91021729,63.53211975,61.9986496,58.92166901,60.34046173,60.22546005,60.92522049,63.22066116,65.08966827,65.99681854,65.41017151,61.82707977,65.10151672,67.55783081,69.97640991,73.3133316,74.31732178,75.92301941,77.14034271,79.31125641,80.61936188,82.09259033,80.49864197,78.61392212,80.53549194,81.68753815,85.70243073,88.31938934,89.46520996,88.22691345,86.95854187,85.34240723,85.93521881,86.3008194,87.48667908,88.2889328,88.34779358,88.54598236,
Angola,AGO,"School enrollment, primary, female (% gross)",SE.PRM.ENRR.FE,,,,,,,,,,,,43.98516083,48.32490158,,,,,,,,,,118.2610397,103.8086014,,,76.27285004,76.05903625,73.55204773,75.10027313,73.92314911,67.4797287,62.63182068,,,,,,67.49520874,,,,,,,,,,102.40625,100.9789734,100.0828171,98.27484131,,,,111.8856277,102.2160034,118.2929993,85.97699738,,,,,
Albania,ALB,"School enrollment, primary, female (% gross)",SE.PRM.ENRR.FE,,,,,,,,,,,,,,,,,108.2152863,,103.7320175,101.5973206,98.77371979,96.87406158,96.40617371,96.63500214,97.05062866,98.26080322,99.34507751,97.75435638,98.55496216,98.66332245,98.6237793,99.89151764,98.77026367,98.99179077,100.0899887,102.294342,105.2544174,107.4766617,107.7678528,107.3735809,107.1706772,107.2900085,104.5944901,104.9871826,104.932312,109.6165314,108.8080368,109.2192764,109.9587631,107.0069199,107.6978073,108.9723511,109.6167221,109.760643,113.1931763,111.5070496,109.0027084,107.0801468,104.8391724,101.3644409,97.95702362,94.79164886,92.68504333,
Andorra,AND,"School enrollment, primary, female (% gross)",SE.PRM.ENRR.FE,,,,,,,,,,,,,,,,101.8726578,,,,,,,,100.7375488,,,,,,,,,,,,,,,,,,,98.78295898,95.6436615,93.17549133,83.58078766,84.18681335,85.83161926,87.85743713,89.26174164,89.22358704,87.31246948,87.00717163,86.70285034,87.76351929,88.24584961,88.60310364,88.89370728,87.85562897,87.92814636,87.76194,87.775383,89.9379425,
Arab World,ARB,"School enrollment, primary, female (% gross)",SE.PRM.ENRR.FE,,,,,,,,,,,52.1231308,52.0135994,53.38183975,54.64562988,55.26789856,56.76947021,58.37157059,59.67630005,60.55245972,63.38420105,65.0742569,65.69239807,66.81427765,67.69734955,68.68353271,68.91596222,69.90409088,71.09470367,71.55593109,72.00910187,73.04437256,73.77043915,71.94371033,72.72303772,74.97910309,74.41490173,75.08693695,77.52262115,78.68190002,80.01069641,80.82215118,81.73413849,83.13063049,84.33023834,85.09236145,86.00975037,87.06922913,87.4361496,88.26937103,88.50583649,89.07253265,88.2158432,90.29519653,89.01264954,88.23423767,87.83901215,87.23052216,87.10584259,87.37854767,87.83390045,88.27645111,88.26560211,87.13375092,
United Arab Emirates,ARE,"School enrollment, primary, female (% gross)",SE.PRM.ENRR.FE,,,,,,,,,,,,49.66490936,56.80527115,66.39335632,72.54682159,77.02188873,91.62413025,97.53205872,97.76985931,95.42175293,93.09295654,89.62998962,95.43360138,96.61431122,96.81642151,94.93971252,94.67281342,94.40072632,95.799263,99.19307709,102.6449127,104.0497437,100.7156982,99.68850708,101.0856018,102.8171463,100.8604584,97.95513916,98.69129944,,,,102.4700394,102.0457993,100.9414978,101.3245163,101.2350998,99.51685333,,93.67076111,97.55870056,101.4313889,110.5019302,113.6365891,119.3831024,125.8230286,115.8356934,113.7995605,,117.8739929,117.8555222,,,
Argentina,ARG,"School enrollment, primary, female (% gross)",SE.PRM.ENRR.FE,,,,,,,,,,,106.1132965,107.0221634,106.2900391,105.9043274,105.9924393,105.3198013,104.7852631,105.6068573,105.5869675,105.1091385,105.1077423,105.6757736,106.1210022,,106.193161,107.6311264,108.9582901,110.4676208,114.0125198,,108.1170883,109.4867096,,,,,112.2723312,109.9847336,114.1440201,117.5243607,117.8576813,117.9427032,117.9328537,115.2199478,116.047142,115.0459518,116.8089676,117.9998398,119.0091095,118.9455414,118.2944565,117.5867004,116.6779099,114.9375229,114.8492508,114.7795334,113.9311905,112.7294083,112.7988129,112.6657104,112.0535889,111.5804367,,
Armenia,ARM,"School enrollment, primary, female (% gross)",SE.PRM.ENRR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.3730392,97.87528229,100.6171722,93.87496948,89.5197525,90.43341064,125.3726807,,126.8713989,87.13382721,92.76763916,89.99358368,93.28038025,95.01473999,94.46768188,96.76876831,106.3279114,106.7615204,105.3383102,96.63050842,96.10283661,96.04911041,98.95707703,100.5182495,101.9968414,102.3271866,100.7025604,99.00514984,96.57733917,96.09980011,93.02606964,92.27925873,
