Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"School enrollment, primary, male (% gross)",SE.PRM.ENRR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.4403381,114.1452866,114.2655029,118.7456284,119.0839691,122.2478104,122.0046082,121.7998581,122.2196732,118.9519882,118.1628876,115.8730164,109.6992264,105.8865204,120.2805481,121.3740463,117.2129974,,,,,,,,
Africa Eastern and Southern,AFE,"School enrollment, primary, male (% gross)",SE.PRM.ENRR.MA,,,,,,,,,,,67.68068695,67.8189621,68.38931274,69.49376678,72.89261627,75.27826691,76.97637177,78.63271332,79.34117889,82.1870575,84.90161896,85.91880035,86.05860901,85.83010101,84.76352692,82.68251801,82.25850677,79.46028137,79.01422119,79.89923859,76.97799683,78.23047638,76.49720001,76.34915161,76.25373077,78.84710693,78.92346954,83.11385345,83.31118011,81.43447113,83.45652771,86.48223877,89.59403229,93.68173981,95.81681061,99.13886261,101.3927307,104.7123718,108.3664474,107.5209579,106.7035065,107.357399,107.1434326,106.1731415,105.4758911,103.8639832,104.2369385,105.1943665,106.7221603,107.582077,108.4817276,106.9249725,106.8875122,
Afghanistan,AFG,"School enrollment, primary, male (% gross)",SE.PRM.ENRR.MA,,,,,,,,,,,56.70124817,58.46149826,58.98397064,59.3746109,60.35189056,61.53189087,62.70188904,63.5201683,65.31820679,,74.34641266,84.07784271,29.02662086,,36.77056885,36.88399887,37.76268005,,50.41093063,46.46683121,44.77148819,46.87694168,,54.01171875,64.05412292,66.26698303,,,,49.57469177,43.41481018,44.86143875,103.835762,123.2897491,147.3519135,126.0777817,127.5335236,124.6184921,125.5884476,119.0759506,121.6947098,116.3384781,122.7799301,125.6841125,127.6711731,125.4262695,125.4768829,125.6571884,128.2875366,130.6062775,,,,
Africa Western and Central,AFW,"School enrollment, primary, male (% gross)",SE.PRM.ENRR.MA,,,,,,,,,,,53.46485901,54.88541031,56.82950974,58.26525116,58.32355881,58.96456146,59.48942184,65.27001953,74.01390076,82.07945251,85.22884369,89.46156311,95.09480286,95.56919098,94.27626801,90.38075256,82.96127319,80.99120331,80.35024261,77.50682068,80.26480865,79.97516632,81.51927185,84.5740509,84.9389267,83.10063934,77.5389328,81.92556,85.45480347,88.90756989,91.88105774,91.82823181,93.64414978,93.96237946,95.72290039,96.38037109,96.49169922,92.71822357,89.8453064,91.2495575,91.36801147,94.00118256,94.40927124,95.31334686,93.42642212,92.77242279,91.67124939,91.38784027,90.853508,91.42388153,91.55036163,91.29577637,91.32454681,
Angola,AGO,"School enrollment, primary, male (% gross)",SE.PRM.ENRR.MA,,,,,,,,,,,,72.91842651,78.67635345,,,,,,,,,,135.8935089,125.4021835,,,92.93515015,92.97305298,92.00408936,89.62547302,80.287117,73.24714661,72.30573273,,,,,,80.85552979,,,,,,,,,,119.8290176,119.4355011,123.6670609,154.2008362,,,,126.3710403,111.8170013,126.1569977,91.15799713,,,,,
Albania,ALB,"School enrollment, primary, male (% gross)",SE.PRM.ENRR.MA,,,,,,,,,,,,,,,,,107.3014984,,101.7307129,99.87767029,96.25421143,95.19003296,94.50093842,93.95224762,96.71304321,97.77245331,99.0838089,99.84619904,98.28964233,99.55284882,100.0761414,101.3579178,99.28781128,97.1831665,102.1057129,105.8290787,108.6938095,110.8632431,111.4528122,111.3455429,111.0146408,110.1768875,110.7307892,109.474472,108.2701569,112.9479904,110.922287,110.5250397,111.3572617,109.0662994,109.2273865,110.4343033,111.5072327,111.99263,114.8178329,114.9524612,112.7687225,112.1810837,109.826767,107.1248093,103.170578,100.3348312,98.46787262,
Andorra,AND,"School enrollment, primary, male (% gross)",SE.PRM.ENRR.MA,,,,,,,,,,,,,,,,96.31255341,,,,,,,,104.1929932,,,,,,,,,,,,,,,,,,,97.73755646,94.6366806,92.80428314,84.87098694,84.64684296,87.8241272,90.9160614,91.14218903,90.96022034,90.78302765,89.16055298,88.51851654,88.65979004,89.60032654,91.61238098,89.81743622,91.41004944,90.74907684,89.66667175,89.9956665,90.3535614,
Arab World,ARB,"School enrollment, primary, male (% gross)",SE.PRM.ENRR.MA,,,,,,,,,,,79.31455994,79.62711334,81.04988861,82.10146332,82.24172974,83.62283325,84.93694305,85.16777039,85.00148773,85.80641174,86.31339264,85.62879944,86.02108002,86.60030365,87.25720215,86.65725708,87.01061249,87.65830994,88.46851349,87.84272766,88.53791046,89.48370361,86.32132721,86.78533173,89.36029816,87.62433624,91.3372879,90.83181763,91.26457214,92.12541199,92.34642029,92.47075653,93.32247925,93.92952728,94.26127625,94.71066284,95.6958313,95.75002289,95.99378204,95.93064117,96.26286316,95.92881012,97.11054993,95.72820282,94.39247131,93.53501129,92.74626923,92.2681427,92.50022125,92.73480225,93.02700043,92.99150085,91.77597046,
United Arab Emirates,ARE,"School enrollment, primary, male (% gross)",SE.PRM.ENRR.MA,,,,,,,,,,,,72.20584106,79.27069092,81.64235687,81.8702774,83.96240234,95.15435028,98.77919006,97.45736694,93.08551025,90.59998322,86.86363983,94.49333191,95.78204346,95.06741333,92.87522125,91.90950775,90.55812836,92.85379028,97.49842834,102.0265579,103.9666519,100.8386307,98.83074188,100.6585236,102.5699997,99.4585495,96.70192719,97.92836761,,,,102.2386322,99.61768341,98.12950134,98.13745117,98.30293274,96.5770874,,90.35050201,91.37216187,92.46694946,103.4797897,110.2712708,118.5838623,125.4588013,117.8416595,110.1141281,,112.6184692,113.926033,,,
Argentina,ARG,"School enrollment, primary, male (% gross)",SE.PRM.ENRR.MA,,,,,,,,,,,105.4358978,106.4900589,106.283699,105.5227966,106.2583923,105.6206284,105.4984207,106.2782974,105.1205368,106.2036896,106.2208862,106.8725967,107.3507614,,106.0583572,106.460228,108.7966614,109.0606537,106.7542725,,107.7376099,109.1457672,,,,,112.210762,108.6132431,113.6575012,115.7184906,116.73069,116.7003708,116.6947327,114.158287,115.3062286,114.4576797,115.8465805,116.7322083,117.8921432,117.8835983,118.1778488,117.3467407,116.362709,114.1025238,113.1205826,112.8300705,112.010788,110.6912079,110.3621674,110.1374512,109.2615814,108.8102798,,
Armenia,ARM,"School enrollment, primary, male (% gross)",SE.PRM.ENRR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.5811462,96.2600174,100.2452164,93.15289307,89.26911926,89.72585297,119.2176895,,118.3590164,89.52999878,94.10318756,91.3311615,93.84828186,94.4799118,93.04708099,95.26264191,105.847023,107.4108963,105.3091202,96.72268677,96.88799286,96.88684845,99.68981171,101.2679214,102.7258072,103.7163391,102.4383774,101.0055771,97.9912796,97.08838654,94.51555634,93.46453094,
American Samoa,ASM,"School enrollment, primary, male (% gross)",SE.PRM.ENRR.MA,,,,,,,,,,,,,,,,,,,,,,,95.02568054,94.20520782,98.98410797,102.3882065,100.9129028,99.35468292,98.26950073,98.32962036,97.38028717,90.46917725,85.07338715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"School enrollment, primary, male (% gross)",SE.PRM.ENRR.MA,,,,,,,,,,,,74.73510742,,,78.57142639,89.60475922,97.52549744,93.59107971,96.52726746,92.13674927,,,,,133.5807953,,,,,,,,106.6275864,,,,,,,,,,,,,,,117.4915466,120.8367004,119.9752884,124.4383774,120.4410477,115.5389481,114.612999,114.4685516,111.5028992,108.197998,109.7619019,112.2707367,113.2279968,,,,
Australia,AUS,"School enrollment, primary, male (% gross)",SE.PRM.ENRR.MA,,,,,,,,,,,,112.4560394,111.0737228,111.1713791,106.85952,109.8568115,110.1843491,110.9303131,110.209137,109.2224884,108.96698,108.6841736,108.1351013,107.5712509,107.6738281,105.6336212,105.7322769,105.7421417,105.9733276,106.2241135,106.5519333,106.7030563,106.5195618,106.5465317,106.7340164,102.0660629,102.1909409,101.8771667,101.9232712,101.9457932,101.7465973,101.5198288,102.6678772,102.96595,103.428978,103.613678,103.7846909,105.6963577,105.5217514,105.4806671,105.7633514,105.4836273,105.8470383,105.9650803,105.6024933,101.7090988,101.2264023,100.6098633,100.3365784,100.1282272,99.82067871,99.79669952,99.04808044,
Austria,AUT,"School enrollment, primary, male (% gross)",SE.PRM.ENRR.MA,,,,,,,,,,,,103.2758484,103.604248,102.7826309,101.9703522,102.1655197,102.2485199,103.4635391,101.9695511,102.3831863,102.4400482,101.5274429,101.307457,101.1423798,100.5267563,99.95340729,102.5610428,100.3455124,99.76509857,99.36753082,98.88079834,99.57189941,102.0967331,103.2808304,103.248558,103.2340622,103.1573792,102.4518204,101.8505402,102.0774765,102.4386902,103.0474625,103.4322281,102.9359131,102.9648438,102.3833084,102.8675079,103.4730377,102.9685516,101.8547592,101.3848419,100.915062,100.7893295,101.3679428,101.4919662,101.7381363,100.8392181,101.4610977,101.720108,102.3275833,101.9913712,101.9581528,101.1429596,
