Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.40646362,92.83545685,94.3045578,97.38562012,97.36534119,99.59561157,100.0285416,104.4425583,106.8421097,95.28556061,96.87418365,94.49185181,94.97409058,113.8926392,,,,,,,,,,,
Africa Eastern and Southern,AFE,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,,,,,,,,,,,18.96084976,18.98591995,19.37615967,19.56526947,19.67326927,20.42523003,21.03862953,21.60247993,22.40006065,23.22562027,24.00760078,24.5011692,25.42627907,26.06813049,26.77551079,27.54515076,27.62571907,27.58128929,27.39378929,26.82165909,26.66592026,26.9392395,26.42032051,26.57191086,27.04117012,27.52543068,27.85910034,28.07969093,29.04623985,29.49161911,29.84638977,31.09441948,31.86919022,32.6427002,34.45793915,35.60522842,37.35832977,39.1506691,40.55104065,41.70920944,42.59040833,43.04875183,44.02021027,44.64876175,45.43164063,45.52814865,45.37686157,45.65639877,45.76031113,46.14822006,46.44356155,,,
Afghanistan,AFG,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,,,,,,,,,,,15.23361015,17.20841026,19.30553055,20.06693077,20.39949036,21.25333977,22.60934067,23.6432991,24.48823929,,,33.61632919,18.41637039,,20.6187191,20.29999924,17.79177094,,19.79590988,,,26.15410995,,27.18437004,39.07061005,35.11669159,,,,,,28.37721062,,20.84914017,31.60322952,30.49272919,43.39852905,42.13327026,54.5449791,59.70207977,67.0412674,66.88748932,69.29836273,70.16661835,69.26123047,67.94708252,67.64362335,70.17211914,72.14544678,,,,,
Africa Western and Central,AFW,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,,,,,,,,,,,10.8966198,11.20672035,11.72920036,12.25102997,12.69320965,13.33903027,14.09436989,14.94694996,16.15464973,17.88367081,20.38241005,22.82336998,25.21276093,29.42996979,32.83404922,30.95646095,27.29488945,26.60730934,26.20647049,24.92539024,25.29958916,25.1933403,25.19223022,25.10313034,25.03215981,25.00717926,24.85499954,24.65129089,24.74681091,24.78793907,26.28058052,28.19123077,30.5592804,32.18471146,33.89459991,34.45190048,34.86103058,35.3102684,37.57804108,40.02106857,43.2522316,45.36455917,46.11463165,51.08292007,46.93920898,47.77933121,46.23300171,45.86442947,45.72745895,46.27711868,46.76588821,47.29312897,46.7091713,
Angola,AGO,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,,,,,,,,,,,,6.325779915,6.965030193,,,,,,,,,,12.87722969,11.80500984,,,,,,,,,,,,,,,12.75006008,12.81947041,14.09105968,16.19005013,17.00723076,,,,,,25.18160057,27.00746918,32.8678894,33.92819977,,,,,64.89981842,,,,,,,
Albania,ALB,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,,,,,,,,,,,,,,,,,73.48365021,,75.98931885,77.73747253,80.84172058,82.39086151,78.65164948,73.46658325,74.50164032,79.20004272,83.74523926,84.83091736,88.07840729,90.88289642,94.92404938,96.82891846,79.26921082,70.04759979,69.07517242,69.8556366,69.39483643,69.93054962,,72.13713074,72.330513,74.5374527,,,80.93347168,85.24160004,87.14042664,89.41696167,91.53121948,91.93580627,96.99298096,101.216217,103.7219162,108.2197266,109.2067566,107.0856628,103.5002213,102.4619293,102.8769608,102.5369797,99.57920837,100.2537918,99.85630798,
Andorra,AND,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,,,,,,,,,,,,24.34210968,20.40592003,20.56701088,20.11893082,33.9622612,31.91695023,,,,,,,58.53314972,,,,,,,,,,,,,,,,,,,74.7959671,73.884758,73.86569977,81.99469757,81.69850922,81.10037994,81.5,83.55593109,86.87914276,91.35385895,90.75073242,89.55709076,91.486763,93.03926086,93.51889801,94.16326904,93.72737885,95.8849411,96.21151733,96.81381989,97.83022308,
Arab World,ARB,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,,,,,,,,,,,32.7722702,32.99649048,33.4245491,34.48529816,35.38748932,37.2156105,38.90327072,40.8885994,42.82865906,44.29656982,45.59043121,46.42441177,47.97362137,48.92953873,50.1505394,51.56908035,53.51821899,54.30213928,54.36246872,54.86684036,57.37144852,57.18692017,55.60514832,56.102211,58.12572861,57.52183151,57.1814003,58.1259613,59.09341049,60.06356812,61.26301956,62.79185104,63.63336182,65.25595856,67.0655899,66.8327179,66.37177277,64.93656158,65.20800781,66.87989044,67.62690735,69.54120636,70.19161224,68.55522919,68.55779266,69.18520355,69.53482819,70.06356812,70.07267761,70.49407959,70.43813324,71.16082764,71.46518707,
United Arab Emirates,ARE,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,,,,,,,,,,,,,,17.66991043,15.27379036,19.69327927,32.4276619,32.6969986,33.41394043,39.57883072,46.88230896,53.78678894,55.37480164,57.8339386,61.20162964,63.14413834,64.39241028,49.97716141,45.48719025,45.1317482,47.2157402,51.75701141,56.18706894,61.91717148,69.21369934,75.09261322,,60.89408875,54.85948944,,,,,,,,,,,,,,,,,,68.15276337,96.24884033,,119.4039001,120.1918411,,,
Argentina,ARG,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,,,,,,,,,,,41.90644073,43.06320953,45.28353119,47.41289902,50.03804016,51.2155304,52.46414185,51.83430862,51.37741852,51.22454834,51.7197113,52.61302185,55.47650146,57.33422852,61.93909836,66.2130127,66.69786072,67.01599121,67.22302246,,,,,,,,74.44519043,71.18211365,78.39269257,89.02023315,93.17922211,94.45523071,93.90695953,92.63494873,91.51190948,89.30275726,87.61073303,86.89196014,87.41480255,90.75910187,94.05509949,95.41520691,97.75356293,100.1004333,101.9494324,103.7264404,106.500618,107.3902817,106.6394272,107.4993362,109.0900421,113.2742996,,
Armenia,ARM,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.41953278,,,,,,,90.33502197,89.79554749,95.92971039,101.6453781,90.58087158,,84.12670135,84.47457886,85.89539337,,,89.11982727,93.38520813,94.91742706,97.7649231,96.85771942,
American Samoa,ASM,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.65792084,91.5002594,92.78556824,96.55680847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,,,,,,,,,,,,,89.01000977,,72.93657684,64.18948364,,73.79797363,73.99373627,,,,,,,,,,,,,,97.61665344,,,,,,,,82.57314301,,,,,,,110.6296921,121.7563705,115.2486191,112.2376709,114.8309708,107.9347534,,114.350029,115.6321793,,117.8403778,122.9179306,,,,,
Australia,AUS,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.2008972,133.0676422,144.0630188,148.6924438,150.5948944,,,,,,,,,,,,,,,,,,170.071991,166.2182617,162.138916,139.6482544,148.2447052,139.3747253,137.5747223,135.8332825,
Austria,AUT,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,,,,,,,,,,,,91.71289825,,,,,95.64401245,,,,,98.68244934,96.33566284,98.41378784,98.90869141,99.83222961,104.3188324,106.1651001,106.8092194,106.0533829,107.4599609,106.5016327,106.7399673,106.7380981,107.4821014,108.1173935,107.8739471,107.2084808,100.3043289,100.6793823,100.7434769,100.8457108,101.2871017,101.74543,101.881813,102.4883423,102.311409,102.0005264,102.1453705,102.7698364,102.1484299,101.6611023,101.9550934,102.827919,103.096817,103.0198517,101.2596664,101.7479095,102.3426971,102.9570465,103.0207367,103.4668808,102.4068527,
Azerbaijan,AZE,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.42806244,94.87435913,82.50639343,82.36322784,82.29242706,
Burundi,BDI,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,,,,,,,,,,,,2.766330004,2.85503006,2.130630016,2.521790028,2.977859974,3.206530094,3.061259985,3.278059959,3.390079975,3.423449993,3.785079956,3.738559961,3.780400038,3.974289894,4.254590034,4.561319828,4.89027977,5.071489811,5.520229816,5.829589844,6.747149944,7.079100132,7.699960232,,,,,,,,,,11.83226967,13.74849987,15.24656963,16.84943962,18.23901939,,24.86006927,28.37578011,31.67884064,34.44361877,38.80192184,44.16521835,46.66991043,48.99468994,48.50299072,45.17774963,40.11820984,41.9098587,,37.06800079,
