Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.02730942,34.69905853,33.65187836,32.52196884,32.89125061,33.47470856,40.41733932,40.96659088,43.23606873,43.90819931,43.30628967,44.21226883,44.83184052,44.80730057,22.93049049,24.5552597,24.00601959,24.52651978,,,,,,,
Africa Eastern and Southern,AFE,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,,,,,,,,,,,1.629899979,1.632830024,1.636749983,1.652169943,1.691779971,1.711449981,1.732949972,1.748180032,1.78926003,1.810310006,1.853559971,1.88530004,1.942499995,1.965059996,2.025039911,2.092920065,2.197659969,2.291310072,2.382169962,2.508899927,2.485830069,2.605190039,2.722330093,2.918359995,3.170900106,3.108520031,3.084939957,3.078469992,3.111680031,3.187819958,3.41373992,3.699810028,3.983479977,4.193510056,4.44754982,4.660980225,4.961750031,5.096710205,5.410280228,5.910099983,6.387730122,6.648580074,7.096970081,7.384960175,7.462880135,7.615479946,7.819839954,8.039380074,8.132760048,8.076740265,8.529549599,8.167730331,,
Afghanistan,AFG,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,,,,,,,,,,,0.236829996,,0.272089988,0.366109997,0.304049999,0.332480013,0.375840008,0.618369997,0.720000029,0.627149999,,,,,,,0.662739992,,,,1.512889981,,,,,,,,,,,,,0.573949993,0.577600002,,,,,1.482380033,,1.863540053,,,3.457720041,,,,5.003819942,,5.941740036,,,
Africa Western and Central,AFW,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,,,,,,,,,,,0.253399998,0.252829999,0.264450014,0.284539998,0.307909995,0.332159996,0.376969993,0.45916,0.52323997,0.652570009,0.723420024,0.857829988,0.934759974,0.981880009,1.029019952,1.133430004,1.218960047,1.269400001,1.269549966,1.301759958,1.43919003,1.586130023,1.754600048,1.939970016,2.14586997,2.343810081,2.581969976,2.840480089,3.06159997,3.310270071,3.799969912,4.136119843,4.506869793,4.847980022,5.072810173,5.424940109,5.482560158,5.676099777,5.852890015,6.048970222,6.259719849,6.385519981,6.717239857,7.187260151,7.394939899,7.55685997,7.443230152,7.518209934,7.784359932,8.027950287,8.252679825,,,
Angola,AGO,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188309997,,,,,,,,0.479559988,0.411940008,,,0.59691,,,,,,,,,3.449300051,,8.134579659,,7.687369823,8.792090416,8.690999985,8.420000076,10.47700024,,,,
Albania,ALB,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,,,,,,,,,,,,8.321430206,8.817890167,,,,,,4.497779846,,,4.509769917,,5.106910229,5.59844017,5.924550056,6.241759777,6.718719959,7.489590168,8.151479721,8.640110016,9.250089645,9.646459579,11.13368034,10.94849968,10.30897045,11.32763004,13.74252987,14.59080029,16.63320923,17.43457985,18.23650932,19.07431984,19.91719055,24.20968056,28.33237076,32.60493088,38.13439178,38.79177856,40.11346054,51.96593094,56.81674957,67.91253662,74.10903931,76.14054871,71.67809296,68.90943146,69.44494629,67.85764313,74.31302643,73.9317627,73.38126373,75.07942963,
Andorra,AND,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.941539764,7.289629936,7.580039978,8.211420059,10.14286041,,13.75,,,,16.71324921,18.20792961,16.64719963,17.32613945,17.91315079,17.3913002,16.72784042,16.40427017,15.65557957,16.63462067,35.14162064,
Arab World,ARB,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,,,,,,,,,,,4.089950085,4.103849888,4.244890213,4.487810135,4.785309792,5.191269875,5.727680206,6.090310097,6.421569824,6.56870985,6.870540142,7.316430092,7.613430023,7.784619808,7.997829914,8.111020088,8.228289604,8.27602005,8.75028038,8.695420265,8.947910309,8.885760307,9.453350067,10.3081398,10.75102997,11.51220989,12.41926956,13.32139015,14.27888966,15.67228031,16.17354965,16.89999008,17.98229027,18.48303032,19.48097038,20.77098083,21.59410095,21.68666077,23.25033951,24.01370049,24.80290031,24.46920967,25.7130909,27.27422905,28.69020081,30.4437294,31.53887939,32.33900833,34.06148148,34.76607132,34.95650864,34.7890892,35.00569153,
United Arab Emirates,ARE,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.37870026,,,
Argentina,ARG,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,,,,,,,,,,,11.49477005,13.97614956,15.41563988,18.10597038,20.84972954,25.96820068,26.02091026,23.06336021,21.46162033,22.16563034,22.10671043,24.96681023,25.72868919,27.13452911,31.02379036,37.75214005,40.25849915,42.55850983,,,,,,,,,,,,62.41674042,66.84047699,70.91927338,74.92153168,78.19193268,76.82196808,76.19959259,81.78620148,81.56743622,83.96354675,86.39356232,90.16139221,95.43480682,96.94663239,98.19338226,101.4421463,105.1100388,109.3264084,112.8282776,114.8143692,120.8153915,127.1554489,140.2976227,,
Armenia,ARM,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.58868027,38.30244827,40.78300095,40.8103714,42.60803986,43.95069122,47.0205307,49.69935989,51.54359818,52.46448898,52.6307106,52.12306976,45.05231857,44.28306961,47.32099915,49.37554932,57.44367981,58.87722015,62.09653854,58.54338837,60.05783844,66.28782654,68.33531189,
American Samoa,ASM,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,21.19895935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.43551064,23.98996925,20.05525017,34.11957932,,,,,,,,,,,
Australia,AUS,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,,,,,,,,,,,11.09210968,12.25405025,13.26268005,14.58195972,17.23708916,19.27802086,21.04623985,21.65534973,22.35811996,22.79764938,23.00485992,23.21319962,23.42816925,24.50130081,25.57875061,27.37413025,29.82420921,30.82885933,33.10731125,34.44253922,37.12699127,40.54138184,42.34503937,64.43231201,67.35739899,72.83872986,77.95919037,82.70330048,,,,,,,,,,,,,,,,,,141.459671,141.215683,129.9749451,119.9941788,128.2402496,130.2254028,135.7330322,128.2834167,
Austria,AUT,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,,,,,,,,,,,,6.942850113,8.416060448,9.832650185,10.64972973,11.69659042,13.6145401,14.54477978,15.37180042,16.29059029,17.40312958,18.37759972,18.72473907,19.6684494,20.80970001,22.74703979,24.30871964,25.61231041,27.61368942,28.93441963,30.76330948,32.2944603,35.50785828,37.84862137,40.69895172,44.5915184,48.1068306,50.27608871,53.52447891,,,,,,,,,,,,,,,88.64244843,88.43135071,89.90548706,90.94074249,92.10691833,94.49884796,95.4495697,98.36364746,105.2396698,,
Azerbaijan,AZE,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.24593925,19.5503006,18.87042999,18.93107986,19.1563797,19.80817986,20.92552948,22.62381935,24.75322914,27.48077965,28.1330204,29.03384972,29.69345093,34.01358032,38.51931,41.91271973,45.24539948,
