Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.09551048,22.30603027,21.87393951,21.16223907,22.49420929,22.18585968,27.3755703,27.06839943,30.42622948,30.7717495,29.37400055,30.72418976,29.96862984,30.38184929,10.63654041,11.05173969,10.75174999,12.57211971,,,,,,,
Africa Eastern and Southern,AFE,"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA,,,,,,,,,,,2.028520107,2.030459881,2.084209919,2.121279955,2.207520008,2.27677989,2.316400051,2.355289936,2.469899893,2.530740023,2.595730066,2.631170034,2.764019966,2.793200016,2.918900013,3.072020054,3.236259937,3.380569935,3.522219896,3.703949928,3.789910078,3.907249928,3.98822999,4.233749866,4.359670162,4.264130116,4.188600063,4.138329983,4.092710018,4.120279789,4.362659931,4.722259998,4.958310127,5.360219955,5.672440052,5.939949989,6.188230038,6.378039837,6.89413023,7.589270115,8.300769806,8.816399574,8.982390404,9.207630157,9.33743,9.512539864,9.625340462,9.682229996,9.66629982,9.543609619,9.932089806,9.533390045,,
Afghanistan,AFG,"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA,,,,,,,,,,,1.375929952,,1.749590039,1.959450006,1.868139982,2.029740095,2.29095006,2.345419884,3.060080051,3.396780014,,,,,,,4.115819931,,,,3.418370008,,,,,,,,,,,,,2.158390045,2.171540022,,,,,6.463300228,,5.566720009,,,12.97752953,,,,14.73108959,,15.58312988,,,
Africa Western and Central,AFW,"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA,,,,,,,,,,,0.991129994,0.995689988,1.069820046,1.174239993,1.27331996,1.334730029,1.480540037,1.713240027,1.928200006,2.333430052,2.575900078,2.989670038,3.181420088,3.327780008,3.424860001,3.713219881,3.913029909,3.800990105,4.172979832,4.388909817,4.462550163,4.519869804,4.62594986,4.794950008,4.905670166,4.992519855,5.142129898,5.339590073,5.43103981,5.520800114,6.276659966,6.913569927,7.565269947,8.224029541,8.386469841,8.889280319,8.962470055,9.23486042,9.574379921,9.669779778,10.02830029,10.4979496,10.93616009,11.53015995,11.8257103,11.7547102,11.45925999,11.6110096,11.71909046,11.7052002,11.81908035,,,
Angola,AGO,"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.984529972,,,,,,,,0.698610008,0.653699994,,,0.913380027,,,,,,,,,9.248749733,,10.10929012,,9.691240311,10.53802967,10.63000011,10.29399967,11.65200043,,,,
Albania,ALB,"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA,,,,,,,,,,,,15.24034023,16.23913002,,,,,,5.060060024,,,4.152400017,,5.102069855,5.916600227,6.656919956,6.932290077,6.90143013,7.180560112,7.606919765,7.827250004,8.452690125,8.756549835,10.82734013,9.77974987,9.60340023,10.29835033,11.34230995,12.11174011,12.23950958,12.8178997,12.50376034,12.55863953,12.66116047,15.30453014,18.73103905,22.91618919,26.3657093,28.35907936,28.73214912,38.5241394,42.95199966,51.66576004,56.85874939,57.74674988,54.44992828,49.78623962,47.99546051,45.44287872,49.92213821,48.99769974,47.42060089,50.59545135,
Andorra,AND,"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.716790199,7.391709805,7.734300137,7.557350159,8.529950142,,9.803919792,,,,10.06289005,11.60713959,11.07643986,10.92220974,12.74759007,13.78977966,14.22671032,13.77165985,14.59885979,13.86894035,33.85932922,
Arab World,ARB,"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA,,,,,,,,,,,7.28331995,7.264110088,7.643650055,8.108240128,8.619680405,9.324509621,10.16963959,11.31276035,11.91423035,11.69633961,12.00714016,12.58697033,12.95328045,13.03532028,13.25831032,13.05000973,13.5197401,13.57771969,13.24612999,12.67024994,12.45697975,11.89826965,12.5549202,13.36028004,13.92053032,14.65019035,15.5622797,16.45685005,17.07304001,18.23402977,18.24626923,18.71327972,19.42275047,19.13769913,20.53651047,21.3399601,21.35054016,22.13909912,21.87178993,22.49578094,23.20222092,22.90549088,24.37844086,26.10384941,27.31933975,28.3501091,28.38472939,29.53004074,30.39624023,31.38125038,31.91534996,32.19366837,32.08507156,
United Arab Emirates,ARE,"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.25009918,,,
Argentina,ARG,"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA,,,,,,,,,,,15.23696041,16.88096046,17.80372047,21.36731911,24.88027,28.16778946,27.98582077,24.85066032,21.04410934,22.07615089,21.33283043,21.45508003,22.21986961,22.87885094,26.6121006,33.32397842,34.81671143,36.30968857,,,,,,,,,,,,37.34167862,42.28902054,47.09566116,49.63740158,51.08382034,53.37260818,51.721241,53.0153389,52.83797073,54.29090881,56.32241058,58.8890419,60.19361877,60.75873184,60.18397141,61.77890015,63.3479805,64.90770721,66.68865204,68.20282745,70.50634003,72.65045929,75.48045349,,
